Name,     2013, 2010, 2000, 1990, 1980
Ktn,        11,   12,    6,    4,    4
OÖ,         42,   40,   28,   20,   23
Sbg,        20,   20,    8,    7,    7
Stmk,       38,   31,   17,    6,    4
Tirol,      22,   17,    9,    6,    6
Vbg,         5,    5,    6,    4,    5
Wien/NÖ/Bgld, 56, 47,   32,   16,   10
Total,     194,  172,  106,   63,   59
